availability,a,city,community,latitude,longitude,link,type,price,beds,sq_feet,baths,cats,dogs,utility_heat,utility_electricity,utility_water,utility_cable,utility_internet,available_month
call for availability,call for availability,Calgary,Temple,51.0818766,-113.9425947,/ab/calgary/rentals/house/4-bedrooms/temple/487273,House,1000,4,908,3.0,0,0,0,0,0,0,0,call for availability
Immediate,2000-01-01 00:00:00,Calgary,Connaught,51.0463834,-114.0874283,/ab/calgary/rentals/apartment/1-bedroom/connaught/pet-friendly/2244,Apartment,1075,1,550,0.0,2,2,1,0,1,0,0,1
Immediate,2000-01-01 00:00:00,Calgary,South Calgary,51.0302907,-114.0989466,/ab/calgary/rentals/apartment/1-bedroom/south-calgary/pet-friendly/2592,Apartment,950,1,464,0.0,2,2,1,0,1,0,0,1
Immediate,2000-01-01 00:00:00,Calgary,Bankview,51.030137,-114.101078,/ab/calgary/rentals/apartment/1-bedroom/bankview/pet-friendly/51406,Apartment,1099,1,631,0.0,2,2,1,0,1,0,0,1
Immediate,2000-01-01 00:00:00,Calgary,Beltline,51.0399846,-114.0693749,/ab/calgary/rentals/apartment/1-bedroom/beltline/pet-friendly/99283,Apartment,1095,1,518,0.0,2,2,1,0,1,0,0,1
Immediate,2000-01-01 00:00:00,Calgary,Lower Mount Royal,51.0362699,-114.082297,/ab/calgary/rentals/apartment/studio/lower-mount-royal/pet-friendly/355718,Apartment,1050,0,487,0.0,2,2,1,0,1,0,0,1
Immediate,2000-01-01 00:00:00,Calgary,Huntington Hills,51.1147884,-114.0682795,/ab/calgary/rentals/apartment/1-bedroom/huntington-hills/pet-friendly/99281,Apartment,1125,1,633,0.0,2,2,1,0,1,0,0,1
Immediate,2000-01-01 00:00:00,Calgary,Mission,51.037644,-114.0703651,/ab/calgary/rentals/apartment/1-bedroom/mission/pet-friendly/2243,Apartment,900,1,570,0.0,2,2,1,0,1,0,0,1
Immediate,2000-01-01 00:00:00,Calgary,Scarboro,51.0375374,-114.1020294,/ab/calgary/rentals/apartment/1-bedroom/scarboro/pet-friendly/299144,Apartment,1025,1,519,0.0,2,2,1,0,1,0,0,1
Immediate,2000-01-01 00:00:00,Calgary,Acadia,50.9749038,-114.0664404,/ab/calgary/rentals/apartment/1-bedroom/acadia/146439,Apartment,1100,2,890,1.0,0,0,1,0,1,0,0,1
Immediate,2000-01-01 00:00:00,Calgary,Renfrew,51.0595404,-114.0510065,/ab/calgary/rentals/apartment/1-bedroom/renfrew/pet-friendly/466383,Apartment,1150,1,578,0.0,2,2,1,0,1,0,0,1
Immediate,2000-01-01 00:00:00,Calgary,Beltline,51.0390969,-114.0731192,/ab/calgary/rentals/apartment/1-bedroom/beltline/pet-friendly/75288,Apartment,1075,1,450,0.0,2,2,1,0,1,0,0,1
Immediate,2000-01-01 00:00:00,Calgary,Mission,51.0369918,-114.0752319,/ab/calgary/rentals/apartment/1-bedroom/mission/pet-friendly/466381,Apartment,1150,1,450,0.0,2,2,1,0,1,0,0,1
Immediate,2000-01-01 00:00:00,Calgary,Deer Run,50.9322881,-114.0113261,/ab/calgary/rentals/apartment/1-bedroom/deer-run/pet-friendly/141307,Apartment,1100,2,800,0.0,2,0,1,0,1,0,0,1
Immediate,2000-01-01 00:00:00,Calgary,Dover,51.0294575,-113.9897399,/ab/calgary/rentals/apartment/1-bedroom/dover/pet-friendly/96614,Apartment,1085,2,850,0.0,2,0,1,1,1,0,0,1
Immediate,2000-01-01 00:00:00,Calgary,Mission,51.0327199,-114.0706328,/ab/calgary/rentals/apartment/1-bedroom/mission/439597,Apartment,1200,1,780,0.0,0,0,1,0,1,0,1,1
Jun 01,2022-06-01 00:00:00,Calgary,Bowness,51.0916264,-114.1968258,/ab/calgary/rentals/apartment/1-bedroom/bowness/pet-friendly/290595,Apartment,1000,0,525,0.0,2,0,1,0,1,0,0,6
Jun 01,2022-06-01 00:00:00,Calgary,Lower Mount Royal,51.035721,-114.083918,/ab/calgary/rentals/apartment/1-bedroom/lower-mount-royal/pet-friendly/406917,Apartment,1175,0,587,0.0,2,0,1,0,1,0,0,6
